date,estimated_ndvi
2024-06-01,0.506
2024-06-02,0.51
2024-06-03,0.511
2024-06-04,0.513
2024-06-05,0.509
2024-06-06,0.51
2024-06-07,0.507
2024-06-08,0.512
2024-06-09,0.511
2024-06-10,0.508
2024-06-11,0.509
2024-06-12,0.51
2024-06-13,0.511
2024-06-14,0.511
2024-06-15,0.515
2024-06-16,0.514
2024-06-17,0.506
2024-06-18,0.515
2024-06-19,0.51
2024-06-20,0.512
2024-06-21,0.509
2024-06-22,0.51
2024-06-23,0.511
2024-06-24,0.508
2024-06-25,0.509
2024-06-26,0.507
2024-06-27,0.507
2024-06-28,0.508
2024-06-29,0.509
2024-06-30,0.511
